routeKey,class,TT_freeflow
-968332509->39920505#1,veh_passenger,328.0
424580475->39921672,truck_truck,536.0
1214520075->1074771170,veh_passenger,98.0
-1067928305#0->40297885#1,veh_passenger,383.0
-1326094888->1332638368#0,veh_passenger,270.0
1067953239#1->39920011#3,veh_passenger,332.0
-488788633#2->-39838691#3,veh_passenger,167.0
-1068916335->-449565665#1,bus_bus,319.0
-900279869->513082635#0-AddedOffRampEdge,veh_passenger,253.0
-1068434202->-47087366#2,truck_truck,205.0
9832326#0->15420801#3,veh_passenger,417.0
1214520074#2->-50323229#10,veh_passenger,459.0
474143552#4->1234244925#0,veh_passenger,440.0
47087366#0->-39838657#3,veh_passenger,294.0
-1260485929#1->47087366#1,veh_passenger,308.0
475044040#2->40035904#1,bus_bus,177.0
-40139708->428730793#0,veh_passenger,552.0
967993112#1->-1335304386#0,veh_passenger,170.0
381945549#0->-40035904#0,veh_passenger,386.0
478286980#1->-10628442#2,bus_bus,256.0
515136608->513082627,veh_passenger,405.0
-654297637#0->-488788633#0,bus_bus,682.0
1214520074#5->-12247568#1,veh_passenger,106.0
-1260485930#1->39838882,veh_passenger,269.0
-1068144845#3->653860562,veh_passenger,377.0
178583167#1->-1204070283#1,veh_passenger,154.0
-47267007#2->1068144849#2,veh_passenger,310.0
1068144846#2->-40035325#2,bus_bus,161.0
488788630#0->-449565665#1,veh_passenger,237.0
1233759524->-488788630#1,veh_passenger,333.0
-1335304385->1236283454,veh_passenger,233.0
513082623->1068434201,veh_passenger,567.0
-513272949->-50323229#11,veh_passenger,316.0
511187808#4-AddedOnRampEdge->-1260485929#3,veh_passenger,333.0
1231065653->10628444#2,veh_passenger,254.0
-900279886->474143552#0,veh_passenger,206.0
-511187818->515136604,veh_passenger,361.0
1068434203->449565665#2,veh_passenger,78.0
24621218#3->39921192#1,veh_passenger,148.0
-474143552#2->40297647#0,veh_passenger,108.0
-1222703384#1->24577455#2,veh_passenger,177.0
68574202->9832326#1,veh_passenger,237.0
178441748#2->428730793#1,veh_passenger,461.0
-39838691#7->-24576913#0,veh_passenger,53.0
511187811->-654297635#1,veh_passenger,346.0
1323097575#1->178699051#1,veh_passenger,496.0
509646056->-1332638391#1,veh_passenger,46.0
509646059->-40138239#1,veh_passenger,318.0
-654297637#0->538432099,veh_passenger,359.0
1255099069->511404873#1,veh_passenger,355.0
83428923#1->240666072#2,veh_passenger,282.0
1337646271#1->511187808#4,veh_passenger,268.0
-40036062#1->761486028#0,veh_passenger,262.0
47223733->160077493,veh_passenger,615.0
1231065643->24577455#1,veh_passenger,254.0
39838751#0->-900279869,veh_passenger,125.0
488788627->40138239#3,truck_truck,51.0
515040937->-654297633,veh_passenger,284.0
666886086#1->1068144845#1,bus_bus,360.0
39920505#8->-10628444#0,veh_passenger,184.0
1231065653->-1074409256#0,truck_truck,664.0
150928465->654297629#6,veh_passenger,280.0
39086240-AddedOffRampEdge->9704194#3,veh_passenger,204.0
40297885#1->39921025#8,veh_passenger,489.0
-653860562->39921025#2,veh_passenger,541.0
83428923#1->564273553#2,veh_passenger,434.0
1298335705->474143552#1,veh_passenger,529.0
-1326193809->-1332638391#0,bus_bus,333.0
-178723097#0->178699056#3,veh_passenger,194.0
-654297629#0->1214520073#1,veh_passenger,306.0
1272548721->1234244925#1,veh_passenger,425.0
1222181935->39838657#1,veh_passenger,97.0
1068144847->515126385#4,veh_passenger,138.0
985133430->509646052,veh_passenger,483.0
513082640->513087668,veh_passenger,283.0
40140141#10->-474143552#0,veh_passenger,231.0
50323229#6->40139504#0,veh_passenger,295.0
11631594#0->-40036009#3,veh_passenger,305.0
654297629#0->238219446#0,veh_passenger,618.0
-50323229#13->24621218#2,truck_truck,415.0
47224972#1->513272951#1,veh_passenger,160.0
24621218#3->39838657#0,veh_passenger,405.0
-1273251150#1->-50323229#3,bus_bus,89.0
1234244925#0->1298335702,veh_passenger,630.0
-1297720376#0->-428730813#1,veh_passenger,462.0
10748045#1->-40036009#0,truck_truck,97.0
1272337500->687878722#1,veh_passenger,868.0
654297629#5->-24576913#0,veh_passenger,85.0
1326193810->-488788633#0,veh_passenger,556.0
39920550#8->654297634,veh_passenger,352.0
488788633#2->513272950#0,veh_passenger,201.0
488788633#0->-10628442#2,truck_truck,368.0
1332638368#1->515136604,veh_passenger,328.0
40035904#2->-1125986379#1,bus_bus,260.0
428730813#1->178699056#0,veh_passenger,314.0
475044040#4->40140141#8,bus_bus,396.0
1068434200#0->510107701,veh_passenger,59.0
39920684#4->1067953246,veh_passenger,483.0
-654297637#0->-147711065#1,veh_passenger,284.0
515126302->-479863106#2,veh_passenger,292.0
475044040#1->-509646056,veh_passenger,193.0
488788633#2->1005394020,veh_passenger,233.0
654297630->39921673#0,veh_passenger,64.0
1074409255#1->654297629#0,veh_passenger,255.0
-40036009#1->1067928307#2,veh_passenger,608.0
-50323229#15->499566574#1,veh_passenger,226.0
-900279886->654297629#4,veh_passenger,483.0
-1068144848#0->-450616334#1,veh_passenger,215.0
-10628429->47157282#0,veh_passenger,389.0
-40035325#1->-39838657#1,veh_passenger,349.0
-1260485931#1->1290439817#1,veh_passenger,512.0
475044040#2->-40138633#1,veh_passenger,50.0
-1068144848#1->428730818#3,veh_passenger,309.0
72157794->-9374529#1,veh_passenger,208.0
967985512->178583140#0,veh_passenger,235.0
47267011#0->-178723097#0,veh_passenger,293.0
1214520075->1067928306#2,veh_passenger,140.0
-654297629#4->654297629#4,bus_bus,20.0
-40036009#1->654297628,veh_passenger,350.0
-39838657#1->1231065653,veh_passenger,147.0
482569917#0->511404877,veh_passenger,325.0
1100626103#1->160077493,bus_bus,455.0
1235501861#2->24576913#0,veh_passenger,122.0
39838691#9->1074409256#2,veh_passenger,83.0
1234244925#0->10628444#0,veh_passenger,462.0
509524229->24577455#1,bus_bus,581.0
985133427->9832326#2,veh_passenger,571.0
178441748#0->40297715#2,veh_passenger,214.0
178699056#2->40297715#0,veh_passenger,719.0
39920684#5->-50323229#5,veh_passenger,101.0
178583145->439836130#0-AddedOffRampEdge,veh_passenger,706.0
147711065#0->-1204070283#0,veh_passenger,33.0
-10250021#2->564273553#1,veh_passenger,254.0
666886086#3->1074771163#0,truck_truck,200.0
428730813#2->39921025#4,veh_passenger,244.0
39763700#6->1074409255#3,bus_bus,209.0
1068916339->511404878,veh_passenger,346.0
1125986379#1->-1260485929#2,veh_passenger,260.0
1335304373#1->-654297630,veh_passenger,133.0
1068144848#1->1222703384#0,veh_passenger,282.0
-47224972#1->-1068144849#0,veh_passenger,182.0
475044040#2->511404873#1,veh_passenger,532.0
511404880#1->511187821,veh_passenger,445.0
1235501860->-10629474#0,veh_passenger,567.0
-654297632#0->1323097576,veh_passenger,192.0
39839093->-8887999#0,veh_passenger,588.0
-50323229#13->-50323229#10,veh_passenger,5.0
-654297636->511185049,veh_passenger,140.0
-40297715#2->72157792,veh_passenger,155.0
-564273553#2->-33683346#2,veh_passenger,794.0
131671623->515130026#1,veh_passenger,269.0
39920505#2->178583159,truck_truck,936.0
40138633#0->-1254633077#1,veh_passenger,99.0
-449565665#2->1260485930#1,veh_passenger,965.0
1068074792->178583167#1,veh_passenger,324.0
-1335304371->-1335304377,truck_truck,230.0
515126385#1->39838520#2,veh_passenger,354.0
50323229#7->24576922#1,veh_passenger,630.0
1290439817#1->1068144845#3,veh_passenger,520.0
-224146621->1254633077#0,veh_passenger,460.0
822782498->10629474#0,veh_passenger,498.0
1207401652#1->240666069#2,veh_passenger,448.0
39838691#0->10628442#1,veh_passenger,180.0
1237953497->-1068916339,veh_passenger,115.0
509646061->-1260485931#1,veh_passenger,319.0
-1273251152->513272951#0,veh_passenger,698.0
39920550#1->-10628442#1,veh_passenger,300.0
439836128#0-AddedOffRampEdge->47088302#0,veh_passenger,294.0
-1290439817#0->1064476620#0,veh_passenger,220.0
-50323226->-838061037,bus_bus,624.0
178583149->33683458#0,veh_passenger,150.0
40297715#3->1068434200#0,veh_passenger,521.0
1226645407->-474143552#4,veh_passenger,201.0
-1204070283#1->1196008691#0,veh_passenger,88.0
47087366#0->15419875#0,veh_passenger,258.0
-654297634->39920011#1,veh_passenger,265.0
1074771163#0->40035325#0,veh_passenger,153.0
1214520070->178702258#2,veh_passenger,127.0
490474063#4->1067953246,veh_passenger,825.0
39920593#5->9704194#4,veh_passenger,295.0
160078084->39921025#2,bus_bus,116.0
39920593#0->1074409232#0,veh_passenger,505.0
39838691#6->24621218#3,bus_bus,300.0
-169562956->1234244927#0,veh_passenger,363.0
490474063#6->449565665#1,veh_passenger,436.0
178583140#0->-39838984#0,veh_passenger,289.0
-1272337500->-488788633#0,veh_passenger,927.0
50323229#14->178583167#1,veh_passenger,338.0
838061037->-40297715#2,veh_passenger,626.0
1196008692#1->-10628442#1,veh_passenger,264.0
-40036062#0->1100626103#2,bus_bus,235.0
-1068916335->39920505#12,veh_passenger,195.0
-451728952#4->401226926#1,veh_passenger,427.0
39838630#1->-1068916335,veh_passenger,214.0
511187821->900287035,veh_passenger,759.0
1235501861#0->1131969257,veh_passenger,49.0
40140017#3->-1273251152,veh_passenger,96.0
-515136608->40115810#0,veh_passenger,340.0
511187808#0->47087993#0,veh_passenger,321.0
40138633#2->1254633077#1,veh_passenger,49.0
654530820#1->-47224972#0,veh_passenger,199.0
68574206->1214520074#1,veh_passenger,145.0
-33683458#1->968332513#0,veh_passenger,113.0
985675139->1100626103#3,veh_passenger,196.0
-488788630#1->1068916336,veh_passenger,255.0
39920505#9->1297720367,veh_passenger,586.0
-50323229#10->-10748045#0,bus_bus,149.0
451728952#3->1196008691#0,veh_passenger,255.0
10748036->-47267007#1,bus_bus,574.0
