vehID,routeKey,class,depart,arrival,travel_time
veh5119,515126304->47087366#2|n=16|h=d4f40f3caf,veh_passenger,4983.0,11199.0,6216.0
bus594,1211151637->1067953239#0|n=48|h=58ff645b30,bus_bus,2232.0,11200.0,8968.0
veh3333,-169562956->-1068144849#0|n=25|h=6491e5e525,veh_passenger,3245.0,11200.0,7955.0
bus2077,1214520074#4->509646057#2|n=20|h=0dbb950c46,bus_bus,7802.0,11200.0,3398.0
bike1425,509524230->178702258#2|n=6|h=c97c4663a1,bike_bicycle,10230.0,11200.0,970.0
bus770,1068144846#1->511187808#4|n=19|h=89b670d76f,bus_bus,2893.0,11201.0,8308.0
bus1219,10629709#0->687878724|n=59|h=7361761e3f,bus_bus,4579.0,11203.0,6624.0
bus1320,511187809->451728952#1|n=27|h=c226d19a67,bus_bus,4958.0,11204.0,6246.0
veh2273,-240666072#2->654297629#5|n=43|h=2bdd02ecec,veh_passenger,2213.0,11205.0,8992.0
truck864,40140141#8->9833223|n=31|h=63b66c8405,truck_truck,9125.0,11207.0,2082.0
veh9532,-761486028#0->-40035325#0|n=22|h=445131260a,veh_passenger,9277.0,11210.0,1933.0
bike77,40138239#0->-1234244927#0|n=32|h=6450650081,bike_bicycle,548.0,11213.0,10665.0
veh1154,39838984#0->9833223|n=27|h=4da84e969c,veh_passenger,1124.0,11213.0,10089.0
bus999,511409188#1->451728952#4|n=24|h=7176f00a70,bus_bus,3753.0,11213.0,7460.0
motorcycle625,-488788629->238219446#0|n=11|h=b8c408770e,motorcycle_motorcycle,4056.0,11214.0,7158.0
truck135,515123442#4->-39838657#0|n=32|h=8939a1d6e1,truck_truck,1315.0,11216.0,9901.0
bus1640,-40035904#2->238219449|n=23|h=1094e9c83e,bus_bus,6160.0,11216.0,5056.0
bus2188,50323229#2->40140141#9|n=54|h=91b12bff88,bus_bus,8218.0,11216.0,2998.0
bus1952,40138941#2->1222181934|n=36|h=c6c549ee28,bus_bus,8344.0,11223.0,2879.0
bus951,178583155->39838691#9|n=35|h=83c369942a,bus_bus,3573.0,11224.0,7651.0
veh11264,1214520072->1214520072|n=1|h=2881f3ee58,veh_passenger,11223.0,11224.0,1.0
veh9020,437445540->147711065#0|n=39|h=0c9ccea09b,veh_passenger,8779.0,11225.0,2446.0
bus2399,40138239#0->-1290439817#1|n=35|h=be06e385c9,bus_bus,9272.0,11227.0,1955.0
bus1146,39838691#9->1421367925|n=32|h=c4ac210a01,bus_bus,5374.0,11228.0,5854.0
bus2315,39838657#0->-50323229#3|n=60|h=633388092c,bus_bus,8695.0,11229.0,2534.0
bus1837,40140141#0->15419875#1|n=29|h=3ceba25ac9,bus_bus,6900.0,11230.0,4330.0
truck199,-564273553#4->40138239#3|n=45|h=fe7aee8aa2,truck_truck,4804.0,11231.0,6427.0
bus2609,39920684#2->39838520#2|n=26|h=b0ca7d09b6,bus_bus,9799.0,11231.0,1432.0
bus463,-438516309->147711065#0|n=30|h=dea0e638b9,bus_bus,1740.0,11232.0,9492.0
bike976,-116783909#5->-116837676|n=17|h=1c6b025660,bike_bicycle,6924.0,11233.0,4309.0
veh8071,50323229#5->-1323097580#1|n=37|h=7cd6320eca,veh_passenger,7855.0,11234.0,3379.0
veh9262,856175964->178702258#2|n=16|h=3d844f5d7a,veh_passenger,9014.0,11235.0,2221.0
veh4868,1100626097->1337646270|n=11|h=560ad1d906,veh_passenger,4738.0,11237.0,6499.0
bus1886,40035904#0->10628444#1|n=18|h=24a5e44fc4,bus_bus,7084.0,11240.0,4156.0
veh2373,131671623->9792174#0|n=33|h=98122260df,veh_passenger,3220.0,11241.0,8021.0
bus1745,47053612->15420801#0|n=21|h=667f2a3d64,bus_bus,6554.0,11242.0,4688.0
veh9919,511404874#0->1226645409|n=16|h=e192325820,veh_passenger,9870.0,11243.0,1373.0
veh6248,178583140#0->1226645409|n=33|h=3e95163a1c,veh_passenger,6081.0,11244.0,5163.0
veh6746,521705694#0->1260481153|n=19|h=0c2b98c28f,veh_passenger,7425.0,11244.0,3819.0
veh8728,1332638391#1->813852683|n=38|h=b6953845fe,veh_passenger,8501.0,11244.0,2743.0
motorcycle135,40297647#1->1214520071|n=28|h=78369327d1,motorcycle_motorcycle,877.0,11247.0,10370.0
veh8632,-1125986377#0->1226645409|n=30|h=588f909696,veh_passenger,8467.0,11247.0,2780.0
veh3341,-687878724->1298335705|n=24|h=c6097c9104,veh_passenger,3253.0,11249.0,7996.0
veh7069,15420532->1068144845#1|n=18|h=b1c9a59553,veh_passenger,6880.0,11250.0,4370.0
bike1471,-33683458#1->-33683458#1|n=1|h=446a0c748b,bike_bicycle,10574.0,11252.0,678.0
bus491,-40035904#2->1226645409|n=48|h=316665c07f,bus_bus,1845.0,11253.0,9408.0
bus624,666886081->-666886085#0|n=17|h=777343abfa,bus_bus,2353.0,11254.0,8901.0
veh6801,40036009#0->1064476622#1|n=12|h=03b3a715a8,veh_passenger,6619.0,11254.0,4635.0
veh7129,8758061->-1068144846#2|n=9|h=082addb230,veh_passenger,6939.0,11254.0,4315.0
veh8136,15420537#1->-474143552#6|n=37|h=67ebbae1d8,veh_passenger,7919.0,11255.0,3336.0
bike1350,-474143552#3->-474143552#3|n=1|h=96bfd92d59,bike_bicycle,9577.0,11255.0,1678.0
bus2639,39920684#3->1125986377#1|n=14|h=cc67f26430,bus_bus,9911.0,11255.0,1344.0
veh5112,47087993#3->511187810|n=31|h=18037cda0a,veh_passenger,9058.0,11256.0,2198.0
veh901,515136604->-1125986377#1|n=21|h=5279f44b15,veh_passenger,878.0,11257.0,10379.0
veh5568,1064476618#0->15420801#1|n=13|h=e356587c30,veh_passenger,5420.0,11258.0,5838.0
veh9659,39920593#3->-147711065#1|n=18|h=dc923182c8,veh_passenger,9401.0,11258.0,1857.0
veh535,-856175964->1118804256#1|n=34|h=064e11b12d,veh_passenger,522.0,11259.0,10737.0
bus2122,15420532->-39838751#2|n=25|h=7c625be688,bus_bus,7970.0,11259.0,3289.0
veh7345,15419971#0->-1273251150#0|n=25|h=9c571d37f6,veh_passenger,7149.0,11260.0,4111.0
bike1455,238219441#0->238219441#0|n=1|h=cd6fccf07e,bike_bicycle,10655.0,11260.0,605.0
truck1157,900399275->900399275|n=1|h=997222db68,truck_truck,11260.0,11261.0,1.0
veh3959,1260485929#0->-761486028#1|n=21|h=29b98a296e,veh_passenger,3854.0,11263.0,7409.0
veh7977,131671623->-1125986377#1|n=26|h=dfc0b7c2d4,veh_passenger,9857.0,11264.0,1407.0
bus783,1196008692#1->-515136609|n=36|h=efcedd3788,bus_bus,2942.0,11265.0,8323.0
