vehID,routeKey,class,depart,arrival,travel_time
veh681,-14924729#1->-40297715#2|n=22|h=e581b97895,veh_passenger,68.0,3612.0,3544.0
bus814,178583167#0->33683346#3|n=22|h=6ea9b85e57,bus_bus,448.0,3612.0,3164.0
bus823,33683458#0->654297629#6|n=45|h=f516a4b532,bus_bus,311.0,3612.0,3301.0
veh2355,-39920593#3->-449565665#0|n=26|h=4b5f35b3ba,veh_passenger,231.0,3614.0,3383.0
motorcycle149,47225638#3->488788630#2|n=20|h=565d4fb49c,motorcycle_motorcycle,98.0,3616.0,3518.0
veh2185,39086240->-9374529#1|n=15|h=7adea57629,veh_passenger,214.0,3616.0,3402.0
veh1290,1273251150#0->1326437250|n=13|h=61753df139,veh_passenger,127.0,3618.0,3491.0
bus905,39838691#1->-1125986385#1|n=33|h=aa5e880cbd,bus_bus,1668.0,3618.0,1950.0
veh12990,488788637#1->654297629#0|n=19|h=10a4f1c3b6,veh_passenger,1266.0,3618.0,2352.0
bus3420,-451728952#3->654297628|n=27|h=5c73717461,bus_bus,1431.0,3619.0,2188.0
veh16294,511185049->1214520074#3|n=17|h=c49885d345,veh_passenger,1587.0,3619.0,2032.0
veh1739,1234244927#0->1214520074#6|n=18|h=c2b7744eda,veh_passenger,172.0,3620.0,3448.0
bus1597,-437445539#1->9833223|n=19|h=2c149b8f6d,bus_bus,601.0,3620.0,3019.0
veh7261,40297647#0->-1131969257|n=16|h=a684a4f1d5,veh_passenger,708.0,3621.0,2913.0
bike45,-436110595#5->1277773031#3|n=22|h=47bcad8626,bike_bicycle,33.0,3622.0,3589.0
veh9616,-238219441#1->479863106#1|n=11|h=1d5876b693,veh_passenger,937.0,3623.0,2686.0
bike3522,-161086369#0->-161086369#0|n=1|h=fe43583e87,bike_bicycle,2568.0,3623.0,1055.0
veh3839,509646055->10250021#4|n=13|h=99f749cb3b,veh_passenger,920.0,3624.0,2704.0
veh4741,513272951#0->1222181936|n=18|h=8c07a139aa,veh_passenger,463.0,3625.0,3162.0
veh7435,1335304374->654297628|n=28|h=7687b84842,veh_passenger,725.0,3626.0,2901.0
bus136,475446753->47267014|n=40|h=f0d877cf6d,bus_bus,53.0,3627.0,3574.0
bus191,1207401652#0->-8887999#1|n=13|h=28dc7661db,bus_bus,73.0,3627.0,3554.0
veh7316,40139504#0->515040940#0|n=15|h=fb4d8b1e82,veh_passenger,713.0,3627.0,2914.0
bike1783,116837565->116831463#0|n=13|h=11847d8fa4,bike_bicycle,1266.0,3628.0,2362.0
bus3625,-1226645411->39838691#0|n=26|h=d55bc8bfb1,bus_bus,1363.0,3628.0,2265.0
veh15590,40035606#0->40109290#4|n=18|h=7ad6857d28,veh_passenger,1519.0,3628.0,2109.0
